,level_0,영업상태명,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),시도,지역구,상세주소,검색여부
0,0,영업/정상,서울특별시 강남구 논현동 198-9,"서울특별시 강남구 강남대로114길 18, 지상1층 102호 (논현동)",정식당,한식,202203.971844754,444853.761457955,서울특별시,강남구,"강남대로114길18,",가능
1,1,영업/정상,서울특별시 강남구 역삼동 825-9 준빌딩,"서울특별시 강남구 강남대로 378, 준빌딩 지상1층 (역삼동)",채선당 샤브보트 강남역점,한식,202462.794327378,443827.961944543,서울특별시,강남구,"강남대로378,",가능
2,3,영업/정상,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",수아당,한식,203470.848439305,447369.579851952,서울특별시,강남구,"압구정로343,",가능
3,5,영업/정상,서울특별시 강남구 역삼동 769-1 삼환 아르누보,"서울특별시 강남구 역삼로 204, 삼환 아르누보 지하1층 B09,B10호 중 107호 (역삼동)",알찬한끼,분식,203453.074368546,443736.68579228,서울특별시,강남구,"역삼로204,",가능
4,7,영업/정상,서울특별시 강남구 삼성동 155-11,"서울특별시 강남구 삼성로96길 11, 지상2층 (삼성동)",세계관,한식,204952.006872429,445195.026116081,서울특별시,강남구,"삼성로96길11,",가능
5,8,영업/정상,서울특별시 강남구 대치동 907-12 아티스톤,"서울특별시 강남구 역삼로 409, 지상1층 102호 (대치동, 아티스톤)",분식을 품다,분식,204506.415173612,444321.238711224,서울특별시,강남구,"역삼로409,",가능
6,12,영업/정상,서울특별시 강남구 논현동 66-35,"서울특별시 강남구 논현로146길 11, 지상2층 (논현동)",식당 민홍,일식,202574.840574654,446222.990405947,서울특별시,강남구,"논현로146길11,",가능
7,15,영업/정상,서울특별시 강남구 개포동 1187-11,"서울특별시 강남구 논현로8길 11, 지상1층 (개포동)",제주그집,한식,204337.29535862,441316.681276932,서울특별시,강남구,"논현로8길11,",가능
8,18,영업/정상,서울특별시 강남구 신사동 502-1 비율라빌딩,"서울특별시 강남구 강남대로 628, 비율라빌딩 지상1층 (신사동)",만수정 강남점,한식,201653.207482566,446184.429131278,서울특별시,강남구,"강남대로628,",가능
9,21,영업/정상,서울특별시 강남구 논현동 114-20,"서울특별시 강남구 언주로134길 11, 지하1층 (논현동)",은서네 국내산 대패삼겹살,한식,203159.048808285,446075.347999996,서울특별시,강남구,"언주로134길11,",가능
10,23,영업/정상,서울특별시 강남구 삼성동 144-14 채널리저브,"서울특별시 강남구 삼성로 517, 지상1층 104호 (삼성동, 채널리저브)",냉동고집 삼성점,한식,204828.180350057,445089.672895407,서울특별시,강남구,"삼성로517,",가능
11,24,영업/정상,서울특별시 강남구 역삼동 770-7,"서울특별시 강남구 역삼로 220, 지상1층 (역삼동)",리하베스트,기타,203571.552291452,443810.299558243,서울특별시,강남구,"역삼로220,",가능
12,25,영업/정상,서울특별시 강남구 역삼동 733,"서울특별시 강남구 논현로76길 12, 지상1층 (역삼동)",팡뮤제,기타,203468.679845421,443861.874985415,서울특별시,강남구,"논현로76길12,",가능
13,26,영업/정상,서울특별시 강남구 신사동 567-23,"서울특별시 강남구 논현로159길 10, 지상1층 104호 (신사동)",만소당,일식,202355.402039864,446767.164870212,서울특별시,강남구,"논현로159길10,",가능
14,27,영업/정상,서울특별시 강남구 삼성동 118-7 대성,"서울특별시 강남구 봉은사로74길 19, 대성 지상1층 102호 (삼성동)",꼬모 서울,기타,204548.465232653,445453.488416063,서울특별시,강남구,"봉은사로74길19,",가능
15,30,영업/정상,서울특별시 강남구 논현동 79-3,"서울특별시 강남구 논현로136길 11, 지상3층 (논현동)",겐지(KENJI),일식,202672.624040835,446002.693509338,서울특별시,강남구,"논현로136길11,",가능
16,31,영업/정상,서울특별시 강남구 논현동 80-19,"서울특별시 강남구 논현로136길 5-5, 지하1층 (논현동)",논현136,한식,202598.885125758,446007.77062939,서울특별시,강남구,"논현로136길5-5,",가능
17,32,영업/정상,서울특별시 강남구 신사동 616-8,"서울특별시 강남구 압구정로36길 7, 지상1층,2층 (신사동)",피양옥,한식,202729.62821332,447308.868246701,서울특별시,강남구,"압구정로36길7,",가능
18,34,영업/정상,서울특별시 강남구 역삼동 827-37,"서울특별시 강남구 테헤란로6길 30, 지상1층 (역삼동)",세븐어클락(7O'CLOCK),한식,202680.800642647,443822.485945659,서울특별시,강남구,"테헤란로6길30,",가능
19,35,영업/정상,서울특별시 강남구 논현동 141-17,"서울특별시 강남구 학동로4길 8, 지상1층 102호 (논현동)",김재윤김치,한식,201950.963698517,445408.624669046,서울특별시,강남구,"학동로4길8,",가능
20,36,영업/정상,서울특별시 강남구 신사동 643-16,"서울특별시 강남구 압구정로46길 28, 지상1층 (신사동)",앰비언트 피크닉(AMBIENT PICNIK),기타,203124.448346501,447185.017101461,서울특별시,강남구,"압구정로46길28,",가능
21,38,영업/정상,서울특별시 강남구 역삼동 834-46 청암빌딩,"서울특별시 강남구 역삼로 140, 청암빌딩 지하2층 2호 (역삼동)",쓰촨 마라,중국식,203016.411353592,443565.052162163,서울특별시,강남구,"역삼로140,",가능
22,39,영업/정상,서울특별시 강남구 신사동 541-2 호경빌딩,"서울특별시 강남구 논현로151길 55, 호경빌딩 지상4층 (신사동)",스시 쥬고야,일식,202023.586080263,446361.308115147,서울특별시,강남구,"논현로151길55,",가능
23,40,영업/정상,서울특별시 강남구 역삼동 834-46 청암빌딩,"서울특별시 강남구 역삼로 140, 청암빌딩 지하2층 6호 (역삼동)",조선육회,한식,203016.411353592,443565.052162163,서울특별시,강남구,"역삼로140,",가능
24,41,영업/정상,서울특별시 강남구 일원동 678-7,"서울특별시 강남구 양재대로33길 24, 지상1층 (일원동)",브레드_히어_(Bread_Here_),기타,207247.808893235,443212.072642554,서울특별시,강남구,"양재대로33길24,",가능
25,42,영업/정상,서울특별시 강남구 역삼동 670-23,"서울특별시 강남구 논현로94길 23, 지상1층 103호,104호 (역삼동)",후토루 역삼점,분식,203308.849811838,444521.77466248,서울특별시,강남구,"논현로94길23,",가능
26,43,영업/정상,서울특별시 강남구 역삼동 827-5 정우씨티,"서울특별시 강남구 테헤란로4길 29, 정우씨티 지하1층 (역삼동)",블루플레임,기타,202633.831687817,443820.594644157,서울특별시,강남구,"테헤란로4길29,",가능
27,44,영업/정상,서울특별시 강남구 역삼동 837-18 서희스타힐스오피스텔,"서울특별시 강남구 도곡로3길 19, 서희스타힐스오피스텔 지상1층 103호 (역삼동)",왕손피자 역삼점,기타,202806.605418469,443241.844994275,서울특별시,강남구,"도곡로3길19,",가능
28,45,영업/정상,서울특별시 강남구 신사동 644-7,"서울특별시 강남구 언주로168길 19, 지하1층 (신사동)",몽크스부처,"외국음식전문점(인도,태국등)",203043.535532243,447126.822334021,서울특별시,강남구,"언주로168길19,",가능
29,49,영업/정상,서울특별시 강남구 신사동 657-26,"서울특별시 강남구 도산대로51길 37, 지상2층 (신사동)",난바스낵 압구정로데오,일식,203290.131850825,447051.960055858,서울특별시,강남구,"도산대로51길37,",가능
30,52,영업/정상,서울특별시 강남구 대치동 897-32,"서울특별시 강남구 선릉로86길 6-3, 지상1층 (대치동)",국신라면,한식,204400.77310368,444525.929621396,서울특별시,강남구,"선릉로86길6-3,",가능
31,53,영업/정상,서울특별시 강남구 논현동 221-7 한양수자인 어반게이트,"서울특별시 강남구 봉은사로29길 35, 지하2층 B201,B202,B203호 주방16호 (논현동, 한양수자인 어반게이트)",킹도리탕,한식,202894.296172644,445277.723124229,서울특별시,강남구,"봉은사로29길35,",가능
32,54,영업/정상,서울특별시 강남구 논현동 108 논현웰스톤,"서울특별시 강남구 학동로43길 38, 지하2층 제비201호 주방11호 (논현동, 논현웰스톤)",라이스박스 논현점,한식,203292.307005445,446247.511537864,서울특별시,강남구,"학동로43길38,",가능
33,56,영업/정상,서울특별시 강남구 대치동 316 은마아파트,"서울특별시 강남구 삼성로 212, 은마상가에이블럭동 지하1층 22호,23호 (대치동, 은마아파트)",포시애틀 은마상가점,한식,205707.089399978,443914.194133105,서울특별시,강남구,"삼성로212,",가능
34,57,영업/정상,서울특별시 강남구 신사동 662-4,"서울특별시 강남구 언주로172길 51, 지상1,2층 (신사동)",다이어메이커(Dyer Maker),경양식,203294.45527214,447200.944071407,서울특별시,강남구,"언주로172길51,",가능
35,58,영업/정상,서울특별시 강남구 신사동 591-14 신사동 빌딩,"서울특별시 강남구 논현로154길 5, 신사동 빌딩 6층 (신사동)",ETHOS 압구정,한식,202464.0605255,446620.889746803,서울특별시,강남구,"논현로154길5,",가능
