영업상태명,소재지전체주소,도로명전체주소,사업장명,최종수정시점,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,시도,지역구,주소_매장명
영업/정상,서울특별시 강남구 논현동 198-9,"서울특별시 강남구 강남대로114길 18, 지상1층 102호 (논현동)",정식당,45191.48189,45193.01247,한식,202203.9718,444853.7615,한식,서울특별시,강남구,강남대로114길 18 정식당
영업/정상,서울특별시 강남구 역삼동 825-9 준빌딩,"서울특별시 강남구 강남대로 378, 준빌딩 지상1층 (역삼동)",채선당 샤브보트 강남역점,45191.43059,45193.01247,한식,202462.7943,443827.9619,한식,서울특별시,강남구,강남대로 378 채선당 샤브보트 강남역점
영업/정상,서울특별시 강남구 삼성동 159 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 C홀 지상3층 (삼성동)",(주)푸들,45261.74914,45263.01222,기타,205130.5917,445590.0968,기타,서울특별시,강남구,영동대로 513 (주)푸들
영업/정상,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",수아당,45261.70965,45263.01222,한식,203470.8484,447369.5799,한식,서울특별시,강남구,압구정로 343 수아당
영업/정상,서울특별시 강남구 삼성동 116-10,"서울특별시 강남구 봉은사로72길 11, 지하1층 (삼성동)",오늘은 철판,45261.66803,45263.01222,일식,204447.4012,445478.0666,일식,서울특별시,강남구,봉은사로72길 11 오늘은 철판
영업/정상,서울특별시 강남구 역삼동 769-1 삼환 아르누보,"서울특별시 강남구 역삼로 204, 삼환 아르누보 지하1층 B09,B10호 중 107호 (역삼동)",알찬한끼,45261.61034,45263.01222,분식,203453.0744,443736.6858,분식,서울특별시,강남구,역삼로 204 알찬한끼
영업/정상,서울특별시 강남구 삼성동 124-27,"서울특별시 강남구 테헤란로77길 41, 지상1층 (삼성동)",마스터즈,45261.49088,45263.01222,한식,204648.7818,445194.6853,한식,서울특별시,강남구,테헤란로77길 41 마스터즈
영업/정상,서울특별시 강남구 삼성동 155-11,"서울특별시 강남구 삼성로96길 11, 지상2층 (삼성동)",세계관,45278.71444,45280.11111,한식,204952.0069,445195.0261,한식,서울특별시,강남구,삼성로96길 11 세계관
영업/정상,서울특별시 강남구 대치동 907-12 아티스톤,"서울특별시 강남구 역삼로 409, 지상1층 102호 (대치동, 아티스톤)",분식을 품다,45260.72484,45262.01179,분식,204506.4152,444321.2387,분식,서울특별시,강남구,역삼로 409 분식을 품다
영업/정상,서울특별시 강남구 역삼동 660-25,"서울특별시 강남구 언주로103길 35, 지하1층 101호 (역삼동)",곰푸드,45260.61772,45262.01179,한식,203218.3126,444859.5472,한식,서울특별시,강남구,언주로103길 35 곰푸드
영업/정상,서울특별시 강남구 역삼동 660-25,"서울특별시 강남구 언주로103길 35, 지하1층 101호 (역삼동)",곰프레시,45260.62105,45262.01179,한식,203218.3126,444859.5472,한식,서울특별시,강남구,언주로103길 35 곰프레시
영업/정상,서울특별시 강남구 역삼동 660-25,"서울특별시 강남구 언주로103길 35, 지하1층 101호 (역삼동)",바로푸드,45260.6203,45262.01179,한식,203218.3126,444859.5472,한식,서울특별시,강남구,언주로103길 35 바로푸드
영업/정상,서울특별시 강남구 논현동 66-35,"서울특별시 강남구 논현로146길 11, 지상2층 (논현동)",식당 민홍,45260.39985,45262.01179,일식,202574.8406,446222.9904,일식,서울특별시,강남구,논현로146길 11 식당 민홍
영업/정상,서울특별시 강남구 신사동 555,"서울특별시 강남구 논현로157길 55, 지상1층 103호 (신사동)",디어(Dear),45245.63892,45247.01204,기타,202072.553,446507.4422,기타,서울특별시,강남구,논현로157길 55 디어(Dear)
영업/정상,서울특별시 강남구 개포동 186-14 청우빌딩,"서울특별시 강남구 개포로 506, 청우빌딩 지상1층 2호 (개포동)",버거리 개포동점,45245.48453,45247.01204,기타,205901.7236,442995.1817,기타,서울특별시,강남구,개포로 506 버거리 개포동점
영업/정상,서울특별시 강남구 개포동 1187-11,"서울특별시 강남구 논현로8길 11, 지상1층 (개포동)",제주그집,45245.43185,45247.01204,한식,204337.2954,441316.6813,한식,서울특별시,강남구,논현로8길 11 제주그집
영업/정상,서울특별시 강남구 신사동 644-2 신사동빌딩,"서울특별시 강남구 압구정로42길 35, 지하1층 (신사동)",카이센클럽(Kaisen Club),45250.70427,45252.01189,일식,203018.8903,447153.6468,일식,서울특별시,강남구,압구정로42길 35 카이센클럽(Kaisen Club)
영업/정상,서울특별시 강남구 청담동 85-7,"서울특별시 강남구 선릉로152길 7, 지상2층 (청담동)",무(MUU)청담,45250.68313,45252.01189,한식,203480.7689,446892.1118,한식,서울특별시,강남구,선릉로152길 7 무(MUU)청담
영업/정상,서울특별시 강남구 신사동 502-1 비율라빌딩,"서울특별시 강남구 강남대로 628, 비율라빌딩 지상1층 (신사동)",만수정 강남점,45250.67554,45252.01189,한식,201653.2075,446184.4291,한식,서울특별시,강남구,강남대로 628 만수정 강남점
영업/정상,서울특별시 강남구 논현동 146-15,"서울특별시 강남구 강남대로124길 39, 지하1층 101호 (논현동)",어웨이크닝,45250.64866,45252.01189,한식,202193.1713,445273.8081,한식,서울특별시,강남구,강남대로124길 39 어웨이크닝
영업/정상,서울특별시 강남구 율현동 365 강남 한신휴플러스6단지,"서울특별시 강남구 밤고개로26길 50, 상가동 지상1층 102호 (율현동, 강남 한신휴플러스6단지)",멕시카나 세곡점,45257.72361,45259.01182,호프/통닭,209261.3406,440610.6343,호프/통닭,서울특별시,강남구,밤고개로26길 50 멕시카나 세곡점
영업/정상,서울특별시 강남구 역삼동 751-18,"서울특별시 강남구 역삼로 135, 지하1층 B01호 (역삼동)",찬스키친,45257.69748,45259.01182,한식,202969.8043,443592.5138,한식,서울특별시,강남구,역삼로 135 찬스키친
영업/정상,서울특별시 강남구 논현동 114-20,"서울특별시 강남구 언주로134길 11, 지하1층 (논현동)",은서네 국내산 대패삼겹살,45257.61831,45259.01182,한식,203159.0488,446075.348,한식,서울특별시,강남구,언주로134길 11 은서네 국내산 대패삼겹살
영업/정상,서울특별시 강남구 삼성동 159-7 현대백화점,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)",비비드크로넛 현대백화점 무역센터점,45257.59829,45259.01182,기타,205210.3588,445154.4223,기타,서울특별시,강남구,테헤란로 517 비비드크로넛 현대백화점 무역센터점
영업/정상,서울특별시 강남구 삼성동 144-14 채널리저브,"서울특별시 강남구 삼성로 517, 지상1층 104호 (삼성동, 채널리저브)",냉동고집 삼성점,45257.58637,45259.01182,한식,204828.1804,445089.6729,한식,서울특별시,강남구,삼성로 517 냉동고집 삼성점
영업/정상,서울특별시 강남구 역삼동 770-7,"서울특별시 강남구 역삼로 220, 지상1층 (역삼동)",리하베스트,45257.58361,45259.01182,기타,203571.5523,443810.2996,기타,서울특별시,강남구,역삼로 220 리하베스트
영업/정상,서울특별시 강남구 역삼동 733,"서울특별시 강남구 논현로76길 12, 지상1층 (역삼동)",팡뮤제,45257.54601,45259.01182,기타,203468.6798,443861.875,기타,서울특별시,강남구,논현로76길 12 팡뮤제
영업/정상,서울특별시 강남구 신사동 567-23,"서울특별시 강남구 논현로159길 10, 지상1층 104호 (신사동)",만소당,45257.5074,45259.01182,일식,202355.402,446767.1649,일식,서울특별시,강남구,논현로159길 10 만소당
영업/정상,서울특별시 강남구 삼성동 118-7 대성,"서울특별시 강남구 봉은사로74길 19, 대성 지상1층 102호 (삼성동)",꼬모 서울,45257.49819,45259.01182,기타,204548.4652,445453.4884,기타,서울특별시,강남구,봉은사로74길 19 꼬모 서울
영업/정상,서울특별시 강남구 논현동 233-5,"서울특별시 강남구 봉은사로33길 13, 지하1층 (논현동)",논현브로스 심죽1호점,45250.57115,45252.01189,한식,203062.9794,445188.8857,한식,서울특별시,강남구,봉은사로33길 13 논현브로스 심죽1호점
영업/정상,서울특별시 강남구 삼성동 159-7 현대백화점,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)",노티드 삼성 현대무역센터,45245.41993,45247.01204,기타,205210.3588,445154.4223,기타,서울특별시,강남구,테헤란로 517 노티드 삼성 현대무역센터
영업/정상,서울특별시 강남구 논현동 79-3,"서울특별시 강남구 논현로136길 11, 지상3층 (논현동)",겐지(KENJI),45245.41237,45247.01204,일식,202672.624,446002.6935,일식,서울특별시,강남구,논현로136길 11 겐지(KENJI)
