,검색어,식당이름,업태구분,주소,메뉴,가격,리뷰
0,"강남대로114길 18, 정식당",정식당,한식,서울 강남구 강남대로114길 18 . 1층 정식당,소불고기주물럭,"16,000원",11
1,"강남대로 378, 채선당 샤브보트",채선당 샤브보트 강남역점,샤브샤브,서울 강남구 강남대로 378 . 지상1층,소고기 샤브샤브,"12,900원",83
2,"압구정로 343, 수아당",수아당 갤러리아백화점 명품관 WEST점,김밥,서울 강남구 압구정로 343,비빔면,"10,000원",10
3,"역삼로 204, 알찬한끼",알찬한끼,종합분식,서울 강남구 역삼로 204 삼환아르누보 지하1층 107호,알찬도시락,"5,000원",0
4,"삼성로96길 11, 세계관",세계관 삼성본점,한식,서울 강남구 삼성로96길 11 2층,투뿔 한우 곱도리탕,"32,000원",62
5,"역삼로 409, 분식을 품다",분식을품다 한티점,종합분식,서울 강남구 역삼로 409 1층 102호,쌀 떡볶이,"5,900원",30
6,"논현로146길 11, 식당 민홍",식당민홍,일식당,서울 강남구 논현로146길 11 2층,오마카세 코스,"122,000원",27
7,"논현로157길 55, 디어",디어,"카페,디저트",서울 강남구 논현로157길 55 1층 103호,크림슨펀치레몬에이드,"6,500원",27
8,"개포로 506, 버거리",버거리 개포동역점,햄버거,서울 강남구 개포로 506 1층 102호,프레쉬버거,"4,200원",34
9,"논현로8길 11, 제주그집",제주그집,한식,서울 강남구 논현로8길 11 지상1층,냉동삼겹살(150g),"14,000원",30
